ercot_name,canonical_name,occurrences,suggested_substation,suggested_confidence,suggested_method
CARSON,CARSON,1,Carson County Substation,0.66,hybrid_fuzzy
CRIST,CRIST,1,Crist Road Substation,0.66,hybrid_fuzzy
ENNIS,ENNIS,1,Ennis Creek Substation,0.66,hybrid_fuzzy
E_BLACK_RN,BLACK,1,Black Bayou Substation,0.66,hybrid_fuzzy
FT_K,FORT,1,Fort Brown Substation,0.66,hybrid_fuzzy
HAMILTON,HAMILTON,1,Hamilton Road Substation,0.66,hybrid_fuzzy
HIGHLAND,HIGHLAND,1,Highland Park Substation,0.66,hybrid_fuzzy
H_HOLLOW_E_1,HOLLOW 1,1,Horse Hollow 1 & 2 Substation,0.66,hybrid_fuzzy
H_HOLLOW_V_A,HOLLOW,1,Wolf Hollow Substation,0.66,hybrid_fuzzy
INADALE,INADALE,1,Inadale Wind Farm Substation,0.66,hybrid_fuzzy
JOHNSON,JOHNSON,1,Johnson City Substation,0.66,hybrid_fuzzy
KIOWA,KIOWA,1,Kiowa 2 Sub,0.66,hybrid_fuzzy
LEON_SLR_RN,LEON,1,Leon Junction Substation,0.66,hybrid_fuzzy
LONE,LONE,1,Lone Tree Substation,0.66,hybrid_fuzzy
MAIN,MAIN,1,North Main Substation,0.66,hybrid_fuzzy
MOUND,MOUND,1,Little Mound Substation,0.66,hybrid_fuzzy
ONION_K,ONION,1,Onion Creek Substation,0.66,hybrid_fuzzy
PINN_SLR_RN,PINN,1,Pinn Road Substation,0.66,hybrid_fuzzy
RICHLAND,RICHLAND,1,Richland Chambers Substation,0.66,hybrid_fuzzy
SAND_L_A,SAND,1,Sand Bluff Substation,0.66,hybrid_fuzzy
SPRING,SPRING,1,Spring Branch Substation,0.66,hybrid_fuzzy
ST,SAINT,1,Saint Hedwig Substation,0.66,hybrid_fuzzy
STAR_SLR_RN,STAR,1,Rising Star Substation,0.66,hybrid_fuzzy
S_HILLS_RN,HILLS,1,Castle Hills Substation,0.66,hybrid_fuzzy
WESTOVER,WESTOVER,1,Westover Hills Substation,0.66,hybrid_fuzzy
WHELESS,WHELESS,1,Wheless Lane Substation,0.66,hybrid_fuzzy
WILLOW,WILLOW,1,Willow Springs Substation,0.66,hybrid_fuzzy
YATES,YATES,1,Marathon Yates Substation,0.66,hybrid_fuzzy
ZACATE_L_A,ZACATE,1,Zacate Creek Substation,0.66,hybrid_fuzzy
LONESTAR_9,LONESTAR 9,1,Lonestar Substation,0.656,hybrid_fuzzy
FASHING_1,FASHING 1,1,Fashing Substation,0.65,hybrid_fuzzy
FASHING_2,FASHING 2,1,Fashing Substation,0.65,hybrid_fuzzy
HELOTES_1,HELOTES 1,1,Helotes Substation,0.65,hybrid_fuzzy
HELOTES_2,HELOTES 2,1,Helotes Substation,0.65,hybrid_fuzzy
RANDADO_9,RANDADO 9,1,Randado Substation,0.65,hybrid_fuzzy
TENASKA_8,TENASKA 8,1,Kiowa Switching Station,0.65,hybrid_fuzzy
WHITNEY__8,WHITNEY 8,1,Whitney Substation,0.65,hybrid_fuzzy
DIBOLL_8,DIBOLL 8,1,Diboll Substation,0.643,hybrid_fuzzy
FIREWHEEL_B1,FIREWHEEL B1,1,Firewheel Substation,0.643,hybrid_fuzzy
FIREWHEEL_T1,FIREWHEEL T1,1,Firewheel Substation,0.643,hybrid_fuzzy
FIREWHEEL_T2,FIREWHEEL T2,1,Firewheel Substation,0.643,hybrid_fuzzy
RANGER_9,RANGER 9,1,Ranger Substation,0.643,hybrid_fuzzy
SNYDER_9,SNYDER 9,1,Snyder Substation,0.643,hybrid_fuzzy
BURLESON_8U,BURLESON 8U,1,Burleson Substation,0.637,hybrid_fuzzy
BURLESON_8X,BURLESON 8X,1,Burleson Substation,0.637,hybrid_fuzzy
BURLESON_8Y,BURLESON 8Y,1,Burleson Substation,0.637,hybrid_fuzzy
COMANCHE_8Z,COMANCHE 8Z,1,Comanche Substation,0.637,hybrid_fuzzy
CROCKETT_8V,CROCKETT 8V,1,Crockett Substation,0.637,hybrid_fuzzy
CROCKETT_8W,CROCKETT 8W,1,Crockett Substation,0.637,hybrid_fuzzy
LN_PORTLAND,LN PORTLAND,1,Portland Substation,0.637,hybrid_fuzzy
LN_ROCKPORT,LN ROCKPORT,1,Rockport Substation,0.637,hybrid_fuzzy
LN_STRATTON,LN STRATTON,1,Stratton Substation,0.637,hybrid_fuzzy
LONESTAR_9X,LONESTAR 9X,1,Lonestar Substation,0.637,hybrid_fuzzy
LONESTAR_9Y,LONESTAR 9Y,1,Lonestar Substation,0.637,hybrid_fuzzy
LONESTAR_9Z,LONESTAR 9Z,1,Lonestar Substation,0.637,hybrid_fuzzy
GOMEZ_1__Z,GOMEZ 1,1,Gomez Substation,0.633,hybrid_fuzzy
PARIS_E_8,PARIS 8,1,Paris Substation,0.633,hybrid_fuzzy
PARIS_N_8,PARIS 8,1,Paris Substation,0.633,hybrid_fuzzy
ACKERLY_9X,ACKERLY 9X,1,Ackerly Substation,0.629,hybrid_fuzzy
BANDERA_B2,BANDERA B2,1,Bandera Substation,0.629,hybrid_fuzzy
BANDERA_BA,BANDERA BA,1,Bandera Substation,0.629,hybrid_fuzzy
BANDERA_BB,BANDERA BB,1,Bandera Substation,0.629,hybrid_fuzzy
HANDLEY_4G,HANDLEY 4G,1,Handley Substation,0.629,hybrid_fuzzy
HANDLEY_5G,HANDLEY 5G,1,Handley Substation,0.629,hybrid_fuzzy
LN_ECLIPSE,LN ECLIPSE,1,Eclipse Substation,0.629,hybrid_fuzzy
LN_GREGORY,LN GREGORY,1,Gregory Substation,0.629,hybrid_fuzzy
LN_SEAWALL,LN SEAWALL,1,Seawall Substation,0.629,hybrid_fuzzy
LN_WHITING,LN WHITING,1,Whiting Substation,0.629,hybrid_fuzzy
SEYMOUR_9X,SEYMOUR 9X,1,Seymour Substation,0.629,hybrid_fuzzy
BNB_MESQUITE,BNB MESQUITE,1,Mesquite Substation,0.62,hybrid_fuzzy
CASTLE_LD,CASTLE LD,1,Castle Substation,0.62,hybrid_fuzzy
DIBOLL_8T,DIBOLL 8T,1,Diboll Substation,0.62,hybrid_fuzzy
DIBOLL_8U,DIBOLL 8U,1,Diboll Substation,0.62,hybrid_fuzzy
EB_ATKINS,EB ATKINS,1,Atkins Substation,0.62,hybrid_fuzzy
LN_HECKER,LN HECKER,1,Hecker Substation,0.62,hybrid_fuzzy
LN_KEPLER,LN KEPLER,1,Kepler Substation,0.62,hybrid_fuzzy
LN_RINCON,LN RINCON,1,Rincon Substation,0.62,hybrid_fuzzy
PARKER_5E,PARKER 5E,1,Parker Substation,0.62,hybrid_fuzzy
PARKER_5W,PARKER 5W,1,Parker Substation,0.62,hybrid_fuzzy
RANGER_9X,RANGER 9X,1,Ranger Substation,0.62,hybrid_fuzzy
SNYDER_9Y,SNYDER 9Y,1,Snyder Substation,0.62,hybrid_fuzzy
SNYDER_9Z,SNYDER 9Z,1,Snyder Substation,0.62,hybrid_fuzzy
TEXOMA_T8,TEXOMA T8,1,Texoma Substation,0.62,hybrid_fuzzy
TURKEY_EB,TURKEY EB,1,Turkey Substation,0.62,hybrid_fuzzy
UVALDE_KV,UVALDE KV,1,Uvalde Substation,0.62,hybrid_fuzzy
WND_WHITNEY,WND WHITNEY,1,Whitney Substation,0.611,hybrid_fuzzy
BRAND_8A,BRAND 8A,1,Brand Substation,0.608,hybrid_fuzzy
CROSS_E1,CROSS E1,1,Cross Substation,0.608,hybrid_fuzzy
CROSS_E2,CROSS E2,1,Cross Substation,0.608,hybrid_fuzzy
CROSS_W1,CROSS W1,1,Cross Substation,0.608,hybrid_fuzzy
CROSS_W2,CROSS W2,1,Cross Substation,0.608,hybrid_fuzzy
EB_HOVEY,EB HOVEY,1,Hovey Substation,0.608,hybrid_fuzzy
HB_NORTH,HB NORTH,1,North Substation,0.608,hybrid_fuzzy
HB_SOUTH,HB SOUTH,1,South Substation,0.608,hybrid_fuzzy
LN_GAUSS,LN GAUSS,1,Gauss Substation,0.608,hybrid_fuzzy
LZ_NORTH,LZ NORTH,1,North Substation,0.608,hybrid_fuzzy
LZ_SOUTH,LZ SOUTH,1,South Substation,0.608,hybrid_fuzzy
MV_BURNS_L_A,MV BURNS,1,Burns Substation,0.608,hybrid_fuzzy
MV_BURNS_L_B,MV BURNS,1,Burns Substation,0.608,hybrid_fuzzy
PARIS_E_8X,PARIS 8X,1,Paris Substation,0.608,hybrid_fuzzy
PARIS_E_8Y,PARIS 8Y,1,Paris Substation,0.608,hybrid_fuzzy
PARIS_N_8V,PARIS 8V,1,Paris Substation,0.608,hybrid_fuzzy
PARIS_N_8W,PARIS 8W,1,Paris Substation,0.608,hybrid_fuzzy
PARIS_N_8X,PARIS 8X,1,Paris Substation,0.608,hybrid_fuzzy
PC_SOUTH_ALL,PC SOUTH,1,South Substation,0.608,hybrid_fuzzy
PC_SOUTH_K,PC SOUTH,1,South Substation,0.608,hybrid_fuzzy
SOUTH_PL_L_A,SOUTH PL,1,South Substation,0.608,hybrid_fuzzy
SOUTH_PL_L_B,SOUTH PL,1,South Substation,0.608,hybrid_fuzzy
SOUTH_SI_L_A,SOUTH SI,1,South Substation,0.608,hybrid_fuzzy
SOUTH_SI_L_B,SOUTH SI,1,South Substation,0.608,hybrid_fuzzy
SOUTH_SI_L_C,SOUTH SI,1,South Substation,0.608,hybrid_fuzzy
SOUTH_SI_L_D,SOUTH SI,1,South Substation,0.608,hybrid_fuzzy
SOUTH_SI_V_A,SOUTH SI,1,South Substation,0.608,hybrid_fuzzy
SOUTH_SI_V_B,SOUTH SI,1,South Substation,0.608,hybrid_fuzzy
WYLIE_RC_L_A,WYLIE RC,1,Wylie Substation,0.608,hybrid_fuzzy
WYLIE_RC_L_B,WYLIE RC,1,Wylie Substation,0.608,hybrid_fuzzy
HUNTER__TR7,HUNTER TR7,1,Hunter Substation,0.6,hybrid_fuzzy
HUNTER__TR8,HUNTER TR8,1,Hunter Substation,0.6,hybrid_fuzzy
LA_PALMA_1,LA PALMA 1,1,La Palma 138 Kv Substation,0.6,hybrid_fuzzy
BLOSSOM_BUS2,BLOSSOM BUS2,1,Blossom Substation,0.595,hybrid_fuzzy
IVEY_BOOSTER,IVEY BOOSTER,1,Booster Substation,0.595,hybrid_fuzzy
HB_WEST,HB WEST,1,West Substation,0.591,hybrid_fuzzy
LN_LOBO,LN LOBO,1,Lobo Substation,0.591,hybrid_fuzzy
LZ_WEST,LZ WEST,1,West Substation,0.591,hybrid_fuzzy
MESA_TL,MESA TL,1,Mesa Substation,0.591,hybrid_fuzzy
TRENT_EPS,TRENT EPS,1,Trent Substation,0.586,hybrid_fuzzy
ST_HEDWG_A,SAINT HEDWG,1,Saint Hedwig Substation,0.583,hybrid_fuzzy
ST_HEDWG_C,SAINT HEDWG,1,Saint Hedwig Substation,0.583,hybrid_fuzzy
ARMAND__138A,ARMAND 138A,1,Armand Substation,0.582,hybrid_fuzzy
ARMAND__138T,ARMAND 138T,1,Armand Substation,0.582,hybrid_fuzzy
ARMAND__138U,ARMAND 138U,1,Armand Substation,0.582,hybrid_fuzzy
ARMAND__138Z,ARMAND 138Z,1,Armand Substation,0.582,hybrid_fuzzy
BIPORT__138U,BIPORT 138U,1,Biport Substation,0.582,hybrid_fuzzy
CAVERN__800X,CAVERN 800X,1,Cavern Substation,0.582,hybrid_fuzzy
CELNEC__138S,CELNEC 138S,1,Celnec Substation,0.582,hybrid_fuzzy
CELNEC__138T,CELNEC 138T,1,Celnec Substation,0.582,hybrid_fuzzy
CELNEC__138U,CELNEC 138U,1,Celnec Substation,0.582,hybrid_fuzzy
CENTER__345A,CENTER 345A,1,Center Point Substation,0.582,hybrid_fuzzy
CENTER__345U,CENTER 345U,1,Center Point Substation,0.582,hybrid_fuzzy
CENTER__345V,CENTER 345V,1,Center Point Substation,0.582,hybrid_fuzzy
DAVSON__138A,DAVSON 138A,1,Davson Substation,0.582,hybrid_fuzzy
DAVSON__138T,DAVSON 138T,1,Davson Substation,0.582,hybrid_fuzzy
DAVSON__138U,DAVSON 138U,1,Davson Substation,0.582,hybrid_fuzzy
DAVSON__138Z,DAVSON 138Z,1,Davson Substation,0.582,hybrid_fuzzy
DIVIDE_9107,DIVIDE 9107,1,Divide Substation,0.582,hybrid_fuzzy
DIVIDE_LINE,DIVIDE LINE,1,Divide Substation,0.582,hybrid_fuzzy
FANNIN__138A,FANNIN 138A,1,Fannin Substation,0.582,hybrid_fuzzy
FANNIN__138B,FANNIN 138B,1,Fannin Substation,0.582,hybrid_fuzzy
FANNIN__138V,FANNIN 138V,1,Fannin Substation,0.582,hybrid_fuzzy
FANNIN__138W,FANNIN 138W,1,Fannin Substation,0.582,hybrid_fuzzy
