NAME,CITY,COUNTY,STATE,LATITUDE,LONGITUDE,LINES,MAX_VOLT,MIN_VOLT,OWNER,TYPE,STATUS,source_dataset,lmp_avg,lmp_hub_spread,lmp_std,shadow_price_nearby,constraint_hours,CAPACITY_SCORE,TIER,ercot_bus_matched,match_confidence,data_source,score_basis,ercot_zone,score_timestamp,queue_hits,project_hits,upgrade_pressure,hosting_band,hosting_confidence,primary_limiter
Bootleg Substation,,,TX,30.994457,-102.2914862,1,345.0,34.5,Southern Power,transmission,IN SERVICE,OSM,16.709999999999997,2.9725000000000037,3.8902956185873587,0.0,0.0,88.59,AVAILABLE,"BTLG_1, EB_LINE_2, EB_LINE_8",1.0,local_zip,bus_match,LZ_WEST,2026-04-16T21:18:27.083633+00:00,1,0,low,150-300,HIGH,unknown
Romney Substation,,,TX,32.2448282,-98.6739267,1,345.0,345.0,NextEra Energy,compensation,IN SERVICE,OSM,21.983333333333334,2.3008333333333333,9.623361096201203,0.0,0.0,87.47,AVAILABLE,"BB1E, BB1W, BB2E, BB2W",1.0,local_zip,bus_match,LZ_NORTH,2026-04-16T21:18:27.083633+00:00,1,0,low,150-300,HIGH,unknown
Solstice Substation,,,TX,30.9483202,-103.3617143,1,345.0,138.0,American Electric Power,transmission,IN SERVICE,OSM,15.718333333333335,3.9641666666666655,3.4765562696345023,0.0,0.0,87.02,AVAILABLE,"EB_30, LN_LINTERNA, LN_SGSA, LN_SLKSW, LN_SLKSW2, LN_SLKSW_2Y, LN_SLKSW_3Y, SOLSTICEL020, SOLSTICEL208, SOLSTICEL270, SOLSTICEL409, SOLSTICEL700, SOLSTICES409, SOL_1",1.0,local_zip,bus_match,LZ_WEST,2026-04-16T21:18:27.083633+00:00,1,0,low,150-300,HIGH,unknown
Lon Hill Substation,,,TX,27.8438525,-97.6155988,1,345.0,69.0,American Electric Power,transmission,IN SERVICE,OSM,17.06152777777778,2.620972222222221,14.524431448446647,0.0,0.0,84.95,AVAILABLE,"LN_LON_HILL, LONHILL_0002, LONHILL_0007, LONHILL_0010, LONHILL_0012, LONHILL_2000, LONHILL_3346, LONHILL_3347, LONHILL_3348, LONHILL_3350, LONHILL_3358, LONHILL_3359, LONHILL_3362, LONHILL_3373, LONHILL_3378, LONHILL_6730, LONHILL_6860, LON_HILL_V_A, LON_HILL_V_B, LON_HILL_V_C, LON_HILL_V_D, LON_HILL_V_E, LON_HILL_V_F, WWKS_T_LINE",0.737,local_zip,bus_match,LZ_SOUTH,2026-04-16T21:18:27.083633+00:00,1,0,low,150-300,MEDIUM,unknown
Fermi Substation,,,TX,29.7697421,-100.7875274,1,138.0,34.5,Akuo,transmission,IN SERVICE,OSM,17.58,2.1025000000000027,4.55660958488775,0.0,0.0,83.64,AVAILABLE,"FERMI_LD1, FERMI_LN, FERMI_W1, FERMI_W2",1.0,local_zip,bus_match,LZ_SOUTH,2026-04-16T21:18:27.083633+00:00,1,0,low,150-300,HIGH,unknown
Coleto Creek Substation,,,TX,28.7168943,-97.2128424,1,345.0,138.0,American Electric Power,transmission,IN SERVICE,OSM,15.263333333333334,4.419166666666667,11.309196043553014,0.0,0.0,83.09,AVAILABLE,"COLETO_L_A, COLETO_L_K, COLETO_V_A, COLETO_V_B",1.0,local_zip,bus_match,LZ_SOUTH,2026-04-16T21:18:27.083633+00:00,1,0,low,150-300,HIGH,unknown
Carlsbad Sub,,,TX,32.445269,-104.200344,1,230.0,115.0,,distribution,IN SERVICE,OSM,15.61,4.072500000000002,4.228510376007134,0.0,0.0,83.08,AVAILABLE,CBRT_L_A,1.0,local_zip,bus_match,LZ_WEST,2026-04-16T21:18:27.083633+00:00,1,0,low,150-300,HIGH,unknown
Yucca Substation,,,TX,30.9905365,-101.0773295,1,138.0,138.0,American Electric Power,distribution,IN SERVICE,OSM,17.209999999999997,2.4725000000000037,4.979849395313074,0.0,0.0,82.82,AVAILABLE,YUCCA_LD01,1.0,local_zip,bus_match,LZ_WEST,2026-04-16T21:18:27.083633+00:00,1,0,low,150-300,HIGH,unknown
Santiago Substation,,,TX,31.1162658,-100.5132428,1,138.0,138.0,American Electric Power,transmission,IN SERVICE,OSM,16.959999999999997,2.7225000000000037,4.021098900006859,0.0,0.0,82.77,AVAILABLE,"LGD_EB_LGD, LGD_EPS1, SANTIAGO_002, SANTIAGO_223",1.0,local_zip,bus_match,LZ_WEST,2026-04-16T21:18:27.083633+00:00,1,0,low,150-300,HIGH,unknown
Tomato Substation,,,TX,32.3450966,-99.2972192,1,138.0,0.012,Golden Spread Electric Cooperative,minor_distribution,IN SERVICE,OSM,16.73,2.9525000000000006,3.9429126290091694,0.0,0.0,82.4,AVAILABLE,"TOMATO1_BB, TOMATO2_BB",1.0,local_zip,bus_match,LZ_WEST,2026-04-16T21:18:27.083633+00:00,1,0,low,150-300,HIGH,unknown
