ercot_name,substation_name,notes
BRAUNIG_CC1,Braunig Switchyard,auto-promoted from review export; confidence=0.660
BRAUNIG_E,Braunig Switchyard,auto-promoted from review export; confidence=0.660
BROOKS_A,Brooks Field Substation,auto-promoted from review export; confidence=0.660
BROOKS_B,Brooks Field Substation,auto-promoted from review export; confidence=0.660
BROOKS_L_A,Brooks Field Substation,auto-promoted from review export; confidence=0.660
B_DAVIS_CC1,Fort Davis Substation,auto-promoted from review export; confidence=0.660
B_DAVIS_K,Fort Davis Substation,auto-promoted from review export; confidence=0.660
B_DAVIS_L_A,Fort Davis Substation,auto-promoted from review export; confidence=0.660
B_DAVIS_V_A,Fort Davis Substation,auto-promoted from review export; confidence=0.660
B_DAVIS_V_B,Fort Davis Substation,auto-promoted from review export; confidence=0.660
CAPITOL_C,Capitol Cement Substation,auto-promoted from review export; confidence=0.660
CAPITOL_D,Capitol Cement Substation,auto-promoted from review export; confidence=0.660
COLETO_L_A,Coleto Creek Substation,auto-promoted from review export; confidence=0.660
COLETO_L_K,Coleto Creek Substation,auto-promoted from review export; confidence=0.660
COLETO_V_A,Coleto Creek Substation,auto-promoted from review export; confidence=0.660
COLETO_V_B,Coleto Creek Substation,auto-promoted from review export; confidence=0.660
DRESDEN_A,Dresden Drive Substation,auto-promoted from review export; confidence=0.660
DRESDEN_B,Dresden Drive Substation,auto-promoted from review export; confidence=0.660
DRESDEN_C,Dresden Drive Substation,auto-promoted from review export; confidence=0.660
ENCINO_A,Encino Park Substation,auto-promoted from review export; confidence=0.660
ENCINO_B,Encino Park Substation,auto-promoted from review export; confidence=0.660
GRISSOM_A,Grissom Road Substation,auto-promoted from review export; confidence=0.660
GRISSOM_C,Grissom Road Substation,auto-promoted from review export; confidence=0.660
HAMILTON_L_A,Hamilton Road Substation,auto-promoted from review export; confidence=0.660
HAMILTON_L_B,Hamilton Road Substation,auto-promoted from review export; confidence=0.660
HAMILTON_V_A,Hamilton Road Substation,auto-promoted from review export; confidence=0.660
HAMILTON_V_B,Hamilton Road Substation,auto-promoted from review export; confidence=0.660
HAMILTON_V_C,Hamilton Road Substation,auto-promoted from review export; confidence=0.660
HARMONY_A,Harmony Hills Substation,auto-promoted from review export; confidence=0.660
HARMONY_B,Harmony Hills Substation,auto-promoted from review export; confidence=0.660
LA_PALMA_V_A,La Palma 69 Kv Substation,auto-promoted from review export; confidence=0.660
LA_PALMA_V_B,La Palma 69 Kv Substation,auto-promoted from review export; confidence=0.660
LA_PALMA_V_C,La Palma 69 Kv Substation,auto-promoted from review export; confidence=0.660
LA_PALMA_V_D,La Palma 69 Kv Substation,auto-promoted from review export; confidence=0.660
MCMURRY_L_A,Abilene Mcmurry Substation,auto-promoted from review export; confidence=0.660
MCMURRY_L_B,Abilene Mcmurry Substation,auto-promoted from review export; confidence=0.660
MERIDA_A,Merida Street Substation,auto-promoted from review export; confidence=0.660
MERIDA_B,Merida Street Substation,auto-promoted from review export; confidence=0.660
MERIDA_C,Merida Street Substation,auto-promoted from review export; confidence=0.660
MERIDA_D,Merida Street Substation,auto-promoted from review export; confidence=0.660
MERIDA_E,Merida Street Substation,auto-promoted from review export; confidence=0.660
MILITARY_V_A,Military Highway Substation,auto-promoted from review export; confidence=0.660
MILITARY_V_B,Military Highway Substation,auto-promoted from review export; confidence=0.660
MOORE_L_A,Moore County Substation,auto-promoted from review export; confidence=0.660
MOORE_V_A,Moore County Substation,auto-promoted from review export; confidence=0.660
NUECES_B_CC1,Nueces Bay Substation,auto-promoted from review export; confidence=0.660
NUECES_B_V_A,Nueces Bay Substation,auto-promoted from review export; confidence=0.660
NUECES_B_V_B,Nueces Bay Substation,auto-promoted from review export; confidence=0.660
NUECES_B_V_C,Nueces Bay Substation,auto-promoted from review export; confidence=0.660
NUECES_B_V_D,Nueces Bay Substation,auto-promoted from review export; confidence=0.660
N_ALAMO_L_A,Alamo Cement Substation,auto-promoted from review export; confidence=0.660
N_ALAMO_L_B,Alamo Cement Substation,auto-promoted from review export; confidence=0.660
N_SHARPE_V_A,Nelson Sharpe Substation,auto-promoted from review export; confidence=0.660
N_SHARPE_V_B,Nelson Sharpe Substation,auto-promoted from review export; confidence=0.660
N_SHARPE_V_C,Nelson Sharpe Substation,auto-promoted from review export; confidence=0.660
PANDA_S_CC1,Panda Temple 1 Substation,auto-promoted from review export; confidence=0.660
PANDA_S_CT1,Panda Temple 1 Substation,auto-promoted from review export; confidence=0.660
PANDA_S_CT2,Panda Temple 1 Substation,auto-promoted from review export; confidence=0.660
PANDA_S_ST1,Panda Temple 1 Substation,auto-promoted from review export; confidence=0.660
PARSONS_A,Parsons Street Substation,auto-promoted from review export; confidence=0.660
PARSONS_B,Parsons Street Substation,auto-promoted from review export; confidence=0.660
PLEASANT_L_A,Pleasant Grove Substation,auto-promoted from review export; confidence=0.660
PLEASANT_L_B,Pleasant Grove Substation,auto-promoted from review export; confidence=0.660
PLEASANT_V_A,Pleasant Grove Substation,auto-promoted from review export; confidence=0.660
QUINTANA_A,Quintana Road Substation,auto-promoted from review export; confidence=0.660
QUINTANA_B,Quintana Road Substation,auto-promoted from review export; confidence=0.660
RANDOLPH_A,Randolph Field Substation,auto-promoted from review export; confidence=0.660
RANDOLPH_B,Randolph Field Substation,auto-promoted from review export; confidence=0.660
RANDOLPH_C,Randolph Field Substation,auto-promoted from review export; confidence=0.660
ST_K,Saint Hedwig Substation,auto-promoted from review export; confidence=0.660
S_BENITO_L_A,San Benito Substation,auto-promoted from review export; confidence=0.660
S_BENITO_L_B,San Benito Substation,auto-promoted from review export; confidence=0.660
TUTTLE_K,Tuttle Switchyard,auto-promoted from review export; confidence=0.660
TUTTLE_L,Tuttle Switchyard,auto-promoted from review export; confidence=0.660
VALLEY_B,Denton Valley Substation,auto-promoted from review export; confidence=0.660
VALLEY_C,Denton Valley Substation,auto-promoted from review export; confidence=0.660
VICTORIA_CC1,North Victoria Substation,auto-promoted from review export; confidence=0.660
VICTORIA_L_A,North Victoria Substation,auto-promoted from review export; confidence=0.660
VICTORIA_L_B,North Victoria Substation,auto-promoted from review export; confidence=0.660
VICTORIA_L_C,North Victoria Substation,auto-promoted from review export; confidence=0.660
VICTORIA_L_D,North Victoria Substation,auto-promoted from review export; confidence=0.660
VICTORIA_V_B,North Victoria Substation,auto-promoted from review export; confidence=0.660
VICTORIA_V_C,North Victoria Substation,auto-promoted from review export; confidence=0.660
VICTORIA_V_D,North Victoria Substation,auto-promoted from review export; confidence=0.660
WALZEM_A,Walzem Road Substation,auto-promoted from review export; confidence=0.660
WALZEM_B,Walzem Road Substation,auto-promoted from review export; confidence=0.660
WALZEM_C,Walzem Road Substation,auto-promoted from review export; confidence=0.660
WALZEM_D,Walzem Road Substation,auto-promoted from review export; confidence=0.660
WHELESS_K,Wheless Lane Substation,auto-promoted from review export; confidence=0.660
AILEEN_L_A,Abilene Aileen Substation,manual curated from review export
BAIRD_L_A,Baird City Substation,manual curated from review export
BOBCAT_K,Bobcat Hills Substation,manual curated from review export
BRAUNIG,Braunig Switchyard,manual curated from review export
BRISCOE_WIND,Briscoe Wind Farm Substation,manual curated from review export
BRODIE_K,Brodie Lane Substation,manual curated from review export
CAGNON_L_A,Cagnon Road Substation,manual curated from review export
CALLAHAN_V_A,Callahan Divide Wind Substation,manual curated from review export
CITGO_NO_V_A,Citgo North Oak Park Substation,manual curated from review export
CITGO_NO_V_B,Citgo North Oak Park Substation,manual curated from review export
CRYSTAL_V_A,Crystal City Substation,manual curated from review export
ESPY_L_A,Espy Wells Substation,manual curated from review export
FOSTER_L_A,Foster Field Substation,manual curated from review export
FOWLERTON_1,Fowlerton Substation,manual curated from review export
FRIEND_L_A,Friend Ranch Substation,manual curated from review export
GRAPEVINE,Grapevine Interchange,manual curated from review export
KOENIG,Koenig Lane Substation,manual curated from review export
KOENIG_Z,Koenig Lane Substation,manual curated from review export
LYTTON_S_K,Lytton Springs Substation,manual curated from review export
MUSTANG_L_A,Mustang Ca Substation,manual curated from review export
N_ELLA_L_A,North Ella Substation,manual curated from review export
PADUCAH,Paducah City Substation,manual curated from review export
PAGE_L_A,Page Field Substation,manual curated from review export
PATTON_K,Patton Lane Substation,manual curated from review export
P_LAVACA_V_A,Port Lavaca Substation,manual curated from review export
SOMMERS,O. W. Sommers Switchyard,manual curated from review export
SPENCE_L_A,Spence Pump Substation,manual curated from review export
SPRUCE,J. K. Spruce Switchyard,manual curated from review export
