NAME,CITY,COUNTY,STATE,LATITUDE,LONGITUDE,LINES,MAX_VOLT,MIN_VOLT,OWNER,TYPE,STATUS,source_dataset
Cypress Substation,,,TX,30.3035855,-94.2572694,1,500.0,138.0,,transmission,IN SERVICE,OSM
Hartburg Substation,,,TX,30.2660657,-93.7385174,1,500.0,500.0,,transmission,IN SERVICE,OSM
Ajo Switching Station,,,TX,27.0919628,-97.7743888,1,345.0,345.0,American Electric Power,transmission,IN SERVICE,OSM
Angstrom Substation,,,TX,28.0443093,-97.4383661,1,345.0,345.0,American Electric Power,switching,IN SERVICE,OSM
Arthur Von Rosenberg Switchyard,,,TX,29.2582444,-98.384209,1,345.0,345.0,CPS Energy,transmission,IN SERVICE,OSM
Austrop Substation,,,TX,30.2513041,-97.4872937,1,345.0,138.0,Lower Colorado River Authority,transmission,IN SERVICE,OSM
Baffin Substation,,,TX,27.1840025,-97.5969359,1,345.0,34.5,Iberdrola,transmission,IN SERVICE,OSM
Baker Ranch Substation,,,TX,33.3698743,-99.5891474,1,345.0,34.5,Starwood Energy Group,transmission,IN SERVICE,OSM
Bakersfield Substation,,,TX,30.9758554,-102.2890918,1,345.0,345.0,Lower Colorado River Authority,transmission,IN SERVICE,OSM
Bastrop Energy Switchyard,,,TX,30.1454735,-97.5485197,1,345.0,345.0,Bastrop Energy Partners,transmission,IN SERVICE,OSM
Bearkat Substation,,,TX,31.766046,-101.5314989,1,345.0,345.0,Wind Energy Transmission Texas,transmission,IN SERVICE,OSM
Beckham County,,,TX,35.3727622,-99.7544606,1,345.0,345.0,Oklahoma Gas and Electric Company,transmission,IN SERVICE,OSM
Ben Davis Substation,,,TX,32.9577703,-96.6120936,1,345.0,138.0,Garland Power & Light,transmission,IN SERVICE,OSM
Bendix Substation,,,TX,34.1033282,-99.1126646,1,345.0,345.0,Starwood Energy Group,transmission,IN SERVICE,OSM
Bergheim Substation,,,TX,29.7887361,-98.5263178,1,345.0,24.9,Pedernales Electric Cooperative; Lower Colorado River Authority,distribution,IN SERVICE,OSM
Bernoulli Substation,,,TX,31.7991388,-101.4664311,1,345.0,345.0,Wind Energy Transmission Texas,transmission,IN SERVICE,OSM
Big Hill Substation,,,TX,31.0473485,-100.5430595,1,345.0,345.0,Lower Colorado River Authority; American Electric Power,transmission,IN SERVICE,OSM
Bitter Creek Substation,,,TX,32.4378234,-100.3521874,1,345.0,345.0,Lower Colorado River Authority,transmission,IN SERVICE,OSM
Blessing Substation,,,TX,28.8865088,-96.1907981,1,345.0,69.0,American Electric Power,transmission,IN SERVICE,OSM
Blue Summit Wind Substation,,,TX,34.2940551,-99.369219,1,345.0,345.0,NextEra Energy,transmission,IN SERVICE,OSM
Bluff Creek Substation,,,TX,32.1965145,-100.0230566,1,345.0,138.0,American Electric Power,transmission,IN SERVICE,OSM
Bootleg Substation,,,TX,30.994457,-102.2914862,1,345.0,34.5,Southern Power,transmission,IN SERVICE,OSM
Bordas Ii Substation,,,TX,27.4393298,-98.9066251,1,345.0,34.5,NextEra Energy,generation,IN SERVICE,OSM
Bordas Substation,,,TX,27.3211338,-98.9980687,1,345.0,34.5,NextEra Energy,transmission,IN SERVICE,OSM
Border Substation,,,TX,35.2012149,-99.9299012,1,345.0,345.0,Oklahoma Gas & Electric,compensation,IN SERVICE,OSM
Bosque Switching Station,,,TX,31.857833,-97.3593024,1,345.0,138.0,Brazos Electric,generation,IN SERVICE,OSM
Bow Wood Substation,,,TX,31.4631111,-99.5485232,1,345.0,345.0,Lower Colorado River Authority,transmission,IN SERVICE,OSM
Briscoe Wind Farm Substation,,,TX,34.3925076,-101.314887,1,345.0,345.0,Capital Dynamics,transmission,IN SERVICE,OSM
Bruenning'S Breeze Substation,,,TX,26.5221611,-97.6553739,1,345.0,34.5,E.ON,transmission,IN SERVICE,OSM
Cagnon Road Substation,,,TX,29.4161433,-98.7181849,1,345.0,138.0,CPS Energy,transmission,IN SERVICE,OSM
Champion Wind Farm Substation,,,TX,32.3987353,-100.648023,1,345.0,345.0,E.ON,transmission,IN SERVICE,OSM
China Draw Substation,,,TX,32.0623778,-104.1156199,1,345.0,115.0,Xcel Energy,transmission,IN SERVICE,OSM
