ercot_bus,substation_name,match_method,match_confidence,latitude,longitude
0009_EB,Payne Substation,ercot_reference_exact,1.0,34.8923993,-97.5548792
0100_LD1,Mozart Substation,ercot_reference_exact,1.0,32.9942365,-100.5316381
1246_EB,Payne Substation,ercot_reference_exact,1.0,34.8923993,-97.5548792
138KV,Seguin Substation,ercot_reference_exact,1.0,29.5943554,-97.9564296
138_BUS1,Oleander Substation,ercot_reference_exact,1.0,26.2066613,-97.6645579
345KV_1,Riley Substation,ercot_reference_exact,1.0,34.0852615,-99.1453349
345KV_2,Riley Substation,ercot_reference_exact,1.0,34.0852615,-99.1453349
69_BUS1,Oleander Substation,ercot_reference_exact,1.0,26.2066613,-97.6645579
9_EBUS,#9,exact,0.99,34.1423094,-103.1438579
AFTON_L_A,Afton Substation,ercot_reference_exact,1.0,33.7338394,-100.8418655
AILEEN_L_A,Abilene Aileen Substation,alias,1.0,32.4886637,-99.7002004
AIRCO_8,Airco Substation,ercot_reference_exact,1.0,28.5098979,-96.7959532
AIRLINE_LD01,Airline Substation,ercot_reference_exact,1.0,27.6957668,-97.3733939
AIRLINE_LD02,Airline Substation,ercot_reference_exact,1.0,27.6957668,-97.3733939
AIRLINE_LD03,Airline Substation,ercot_reference_exact,1.0,27.6957668,-97.3733939
AIRLINE_LD04,Airline Substation,ercot_reference_exact,1.0,27.6957668,-97.3733939
AIRLINE_V_A,Airline Substation,ercot_reference_exact,1.0,27.6957668,-97.3733939
AIRLINE_V_B,Airline Substation,ercot_reference_exact,1.0,27.6957668,-97.3733939
AIRPORT_AG1,Airport Substation,ercot_reference_exact,1.0,30.9030669,-102.9191557
AIRPRT69T,Airport Substation,ercot_reference_exact,1.0,30.9030669,-102.9191557
AIRP_EB,Airport Substation,ercot_reference_exact,1.0,30.9030669,-102.9191557
ALAZAN_L_A,Alazan Substation,ercot_reference_exact,1.0,27.5598557,-97.5022098
ALBANY_L_A,Albany Substation,ercot_reference_exact,1.0,32.72364,-99.2926454
ALBANY_V_A,Albany Substation,ercot_reference_exact,1.0,32.72364,-99.2926454
